Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Fare_log,Age_log,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,AgeGroup_Child,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior
0,3,22.0,1,0,7.25,2,0,3.625,2.1102132003465894,3.1354942159291497,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,1,38.0,1,0,71.2833,2,0,35.64165,4.2805931204649,3.6635616461296463,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,3,26.0,0,0,7.925,1,1,7.925,2.188856327665703,3.295836866004329,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,1,35.0,1,0,53.1,2,0,26.55,3.9908341858524357,3.58351893845611,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,35.0,0,0,8.05,1,1,8.05,2.2027647577118348,3.58351893845611,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,3,,0,0,8.4583,1,1,8.4583,2.246892662898172,,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,1,54.0,0,0,51.8625,1,1,51.8625,3.967694202798607,4.007333185232471,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,3,2.0,3,1,21.075,5,0,4.215,3.0944457464900235,1.0986122886681098,False,True,False,False,True,True,False,False,False,False,True,False,False,False
1,3,27.0,0,2,11.1333,3,0,3.7111,2.495953738718064,3.332204510175204,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,14.0,1,0,30.0708,2,0,15.0354,3.436268471383741,2.70805020110221,True,False,True,False,False,False,False,False,True,False,False,True,False,False
1,3,4.0,1,1,16.7,3,0,5.566666666666666,2.8735646395797834,1.6094379124341003,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,1,58.0,0,0,26.55,1,1,26.55,3.3160025355989236,4.07753744390572,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,3,20.0,0,0,8.05,1,1,8.05,2.2027647577118348,3.044522437723423,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,3,39.0,1,5,31.275,7,0,4.4678571428571425,3.4742929367327062,3.6888794541139363,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,3,14.0,0,0,7.8542,1,1,7.8542,2.180891922715322,2.70805020110221,True,False,False,False,True,False,True,False,False,False,False,True,False,False
1,2,55.0,0,0,16.0,1,1,16.0,2.833213344056216,4.02535169073515,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,2.0,4,1,29.125,6,0,4.854166666666667,3.405355391810819,1.0986122886681098,False,True,False,True,False,True,False,False,False,False,True,False,False,False
1,2,,0,0,13.0,1,1,13.0,2.6390573296152584,,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,3,31.0,1,0,18.0,2,0,9.0,2.9444389791664403,3.4657359027997265,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,,0,0,7.225,1,1,7.225,2.1071782966514356,,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,2,35.0,0,0,26.0,1,1,26.0,3.295836866004329,3.58351893845611,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,2,34.0,0,0,13.0,1,1,13.0,2.6390573296152584,3.5553480614894135,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,3,15.0,0,0,8.0292,1,1,8.0292,2.2004637699272855,2.772588722239781,True,False,False,True,False,False,True,False,False,False,False,True,False,False
1,1,28.0,0,0,35.5,1,1,35.5,3.597312260588446,3.367295829986474,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,3,8.0,3,1,21.075,5,0,4.215,3.0944457464900235,2.1972245773362196,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,3,38.0,1,5,31.3875,7,0,4.483928571428572,3.4777725458882283,3.6635616461296463,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,,0,0,7.225,1,1,7.225,2.1071782966514356,,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0,1,19.0,3,2,249.00622000000035,6,0,41.50103666666673,5.521485797552746,2.995732273553991,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,3,,0,0,7.8792,1,1,7.8792,2.1837114628556327,,True,False,False,True,False,False,True,False,False,False,False,False,False,False
