Age_log,Age,Fare,FarePerPerson,Fare_log,Pclass,FamilySize,SibSp,Parch,IsAlone,Survived
3.1354942159291497,22.0,7.25,3.625,2.110213200346589,3,2,1,0,0,0
3.6635616461296463,38.0,71.2833,35.64165,4.2805931204649,1,2,1,0,0,1
3.295836866004329,26.0,7.925,7.925,2.188856327665703,3,1,0,0,1,1
3.58351893845611,35.0,53.1,26.55,3.990834185852436,1,2,1,0,0,1
3.58351893845611,35.0,8.05,8.05,2.2027647577118348,3,1,0,0,1,0
,,8.4583,8.4583,2.246892662898172,3,1,0,0,1,0
4.007333185232471,54.0,51.8625,51.8625,3.967694202798607,1,1,0,0,1,0
1.0986122886681098,2.0,21.075,4.215,3.0944457464900235,3,5,3,1,0,0
3.332204510175204,27.0,11.1333,3.7111,2.495953738718064,3,3,0,2,0,1
2.70805020110221,14.0,30.0708,15.0354,3.436268471383741,2,2,1,0,0,1
1.6094379124341005,4.0,16.7,5.566666666666666,2.873564639579784,3,3,1,1,0,1
4.07753744390572,58.0,26.55,26.55,3.316002535598924,1,1,0,0,1,1
3.044522437723423,20.0,8.05,8.05,2.2027647577118348,3,1,0,0,1,0
3.688879454113936,39.0,31.275,4.467857142857143,3.4742929367327062,3,7,1,5,0,0
2.70805020110221,14.0,7.8542,7.8542,2.180891922715322,3,1,0,0,1,0
4.02535169073515,55.0,16.0,16.0,2.833213344056216,2,1,0,0,1,1
1.0986122886681098,2.0,29.125,4.854166666666667,3.405355391810819,3,6,4,1,0,0
,,13.0,13.0,2.6390573296152584,2,1,0,0,1,1
3.4657359027997265,31.0,18.0,9.0,2.9444389791664403,3,2,1,0,0,0
,,7.225,7.225,2.107178296651436,3,1,0,0,1,1
3.58351893845611,35.0,26.0,26.0,3.295836866004329,2,1,0,0,1,0
3.555348061489413,34.0,13.0,13.0,2.6390573296152584,2,1,0,0,1,1
2.772588722239781,15.0,8.0292,8.0292,2.200463769927285,3,1,0,0,1,1
3.367295829986474,28.0,35.5,35.5,3.597312260588446,1,1,0,0,1,1
2.19722457733622,8.0,21.075,4.215,3.0944457464900235,3,5,3,1,0,0
3.6635616461296463,38.0,31.3875,4.483928571428572,3.4777725458882283,3,7,1,5,0,1
,,7.225,7.225,2.107178296651436,3,1,0,0,1,0
2.995732273553991,19.0,249.00622000000035,41.50103666666673,5.521485797552746,1,6,3,2,0,0
